protocol,file,application_flow_count,tx_packets,rx_packets,lost_packets,tx_bytes,rx_bytes,throughput_bps,throughput_mbps,pdr_percent,loss_percent,avg_delay_s,avg_delay_ms,avg_jitter_s,avg_jitter_ms
AODV,final1000_AODV_1.xml,2,29298,706,28464,15820920,381240,43570.28571428572,0.043570285714285714,2.4097208000546115,97.59027919994539,0.005161586402266289,5.161586402266289,0.001848640226628895,1.848640226628895
AODV,final1000_AODV_10.xml,2,29298,7531,21356,15820920,4066740,464770.28571428574,0.46477028571428575,25.704826268004645,74.29517373199536,0.056506360377107955,56.50636037710795,0.0009892325056433408,0.9892325056433409
AODV,final1000_AODV_100.xml,2,29298,0,28293,15820920,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
AODV,final1000_AODV_1000.xml,2,29298,1642,27528,15820920,886680,101334.85714285714,0.10133485714285714,5.6044781213734725,94.39552187862652,0.0016298416565164434,1.6298416565164433,7.38483556638246e-05,0.07384835566382461
AODV,final1000_AODV_101.xml,2,29298,7759,19033,15820920,4189860,478841.14285714284,0.47884114285714285,26.48303638473616,73.51696361526385,0.04700814537955922,47.00814537955922,0.0018875215878334836,1.8875215878334837
AODV,final1000_AODV_102.xml,2,29298,15912,10936,15820920,8592480,981997.7142857143,0.9819977142857144,54.31087446242064,45.68912553757936,0.06530574409250879,65.30574409250879,0.0022543413775766717,2.254341377576672
AODV,final1000_AODV_103.xml,2,29298,6645,22194,15820920,3588300,410091.4285714286,0.4100914285714286,22.680729060004097,77.3192709399959,0.11285778781038376,112.85778781038375,0.006397893152746427,6.397893152746427
AODV,final1000_AODV_104.xml,2,29298,2307,26703,15820920,1245780,142374.85714285713,0.14237485714285714,7.874257628507066,92.12574237149293,0.08904551365409623,89.04551365409623,0.004203407022106632,4.2034070221066315
AODV,final1000_AODV_105.xml,2,29298,9285,17508,15820920,5013900,573017.1428571428,0.5730171428571429,31.691583043211143,68.30841695678886,0.021287539041464732,21.287539041464733,0.0012401701669359183,1.2401701669359182
AODV,final1000_AODV_106.xml,2,29298,6395,22764,15820920,3453300,394662.85714285716,0.39466285714285715,21.82742849341252,78.17257150658749,0.05246551993745113,52.465519937451134,0.002188838154808444,2.188838154808444
