protocol,runs,avg_application_flow_count,avg_throughput_bps,avg_throughput_mbps,avg_pdr_percent,avg_loss_percent,avg_delay_s,avg_delay_ms,avg_jitter_s,avg_jitter_ms,avg_tx_packets,avg_rx_packets,avg_lost_packets
AODV,1000,2,418801.3508571429,0.4188013508571429,23.162444535463173,76.83755546453683,0.08671874313792327,86.71874313792328,0.0028940944333376425,2.894094433337642,29298,6786.133,21822.087
OLSR,1000,1.264,328218.1097142857,0.3282181097142857,52.25826941100843,34.54173058899158,0.05787373042835858,57.873730428358584,0.0013400984900545723,1.3400984900545723,7985.197,5318.349,2057.761
